label,uri
tamp-sequence-adjust-confirm,https://www.iana.org/assignments/media-types/application/tamp-sequence-adjust-confirm
tamp-status-query,https://www.iana.org/assignments/media-types/application/tamp-status-query
tamp-status-response,https://www.iana.org/assignments/media-types/application/tamp-status-response
tamp-update,https://www.iana.org/assignments/media-types/application/tamp-update
tamp-update-confirm,https://www.iana.org/assignments/media-types/application/tamp-update-confirm
taxii+json,https://www.iana.org/assignments/media-types/application/taxii+json
td+json,https://www.iana.org/assignments/media-types/application/td+json
tei+xml,https://www.iana.org/assignments/media-types/application/tei+xml
TETRA_ISI,https://www.iana.org/assignments/media-types/application/TETRA_ISI
thraud+xml,https://www.iana.org/assignments/media-types/application/thraud+xml
timestamp-query,https://www.iana.org/assignments/media-types/application/timestamp-query
timestamp-reply,https://www.iana.org/assignments/media-types/application/timestamp-reply
timestamped-data,https://www.iana.org/assignments/media-types/application/timestamped-data
tlsrpt+gzip,https://www.iana.org/assignments/media-types/application/tlsrpt+gzip
tlsrpt+json,https://www.iana.org/assignments/media-types/application/tlsrpt+json
tnauthlist,https://www.iana.org/assignments/media-types/application/tnauthlist
trickle-ice-sdpfrag,https://www.iana.org/assignments/media-types/application/trickle-ice-sdpfrag
trig,https://www.iana.org/assignments/media-types/application/trig
ttml+xml,https://www.iana.org/assignments/media-types/application/ttml+xml
tve-trigger,https://www.iana.org/assignments/media-types/application/tve-trigger
tzif,https://www.iana.org/assignments/media-types/application/tzif
tzif-leap,https://www.iana.org/assignments/media-types/application/tzif-leap
ulpfec,https://www.iana.org/assignments/media-types/application/ulpfec
urc-grpsheet+xml,https://www.iana.org/assignments/media-types/application/urc-grpsheet+xml
urc-ressheet+xml,https://www.iana.org/assignments/media-types/application/urc-ressheet+xml
urc-targetdesc+xml,https://www.iana.org/assignments/media-types/application/urc-targetdesc+xml
urc-uisocketdesc+xml,https://www.iana.org/assignments/media-types/application/urc-uisocketdesc+xml
vcard+json,https://www.iana.org/assignments/media-types/application/vcard+json
vcard+xml,https://www.iana.org/assignments/media-types/application/vcard+xml
vemmi,https://www.iana.org/assignments/media-types/application/vemmi
vnd.1000minds.decision-model+xml,https://www.iana.org/assignments/media-types/application/vnd.1000minds.decision-model+xml
vnd.3gpp.access-transfer-events+xml,https://www.iana.org/assignments/media-types/application/vnd.3gpp.access-transfer-events+xml
vnd.3gpp.bsf+xml,https://www.iana.org/assignments/media-types/application/vnd.3gpp.bsf+xml
vnd.3gpp.GMOP+xml,https://www.iana.org/assignments/media-types/application/vnd.3gpp.GMOP+xml
